id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1419,Beautiful home in amazing area!,1565,Alexandra,,Little Portugal,43.6459,-79.42423,Entire home/apt,469,28,7,2017-12-04,0.09,1,0,0,
8077,Downtown Harbourfront Private Room,22795,Kathie & Larry,,Waterfront Communities-The Island,43.6408,-79.37673,Private room,96,180,169,2013-08-27,1.50,2,365,0,
23691,Queen Bedroom close to downtown,93825,Yohan & Sarah,,Briar Hill-Belgravia,43.69805,-79.45411,Private room,72,28,217,2018-10-10,1.73,2,365,0,
27423,Executive Studio Unit- Ideal for One Person,118124,Brent,,South Riverdale,43.66884,-79.32725,Entire home/apt,45,365,26,2011-06-25,0.21,1,280,0,
30931,Downtown Toronto - Waterview Condo,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64015,-79.37625,Entire home/apt,128,180,1,2010-08-11,0.01,2,365,0,
40456,Downtown- King Size Bed and Parking,174063,Denis,,South Parkdale,43.63539,-79.4401,Entire home/apt,100,30,113,2018-08-01,0.89,4,209,2,
41887,Great location,183071,Kyle,,Oakridge,43.69464,-79.2852,Entire home/apt,70,28,85,2021-02-16,1.48,2,338,2,
42892,Downtown 3 Beds 2 Baths @ Union & Harbourfront,187320,Downtown Suite Living,,Waterfront Communities-The Island,43.6445,-79.38019,Entire home/apt,120,120,0,,,7,219,0,
43964,Bright entire 2-bedrm basement suite private entry,192364,Mitra,,Wexford/Maryvale,43.74922,-79.29188,Private room,100,2,35,2019-08-05,0.62,1,364,4,STR-2012-FMQPHC
44452,Yonge & Bloor Studio Skyline,195095,Urbano,,Rosedale-Moore Park,43.67193,-79.3859,Entire home/apt,119,28,59,2021-01-23,0.43,16,348,4,
44469,Yonge & Bloor 2 Bedroom Apartment,195095,Urbano,,Rosedale-Moore Park,43.67129,-79.38634,Private room,79,28,8,2017-08-27,0.06,16,365,0,
45399,Fountain View Studio - Eaton center,195095,Urbano,,Bay Street Corridor,43.66123,-79.38336,Entire home/apt,134,28,79,2019-09-02,0.67,16,338,1,
45453,Yonge & Bloor 2 Bedroom Master,195095,Urbano,,Rosedale-Moore Park,43.67128,-79.38422,Private room,99,28,9,2017-07-16,0.07,16,303,0,
45601,Marigold Gardens,188183,Simon,,South Riverdale,43.66218,-79.33038,Private room,50,28,0,,,1,365,0,
45893,Yonge & Bloor Lakeview Master BR,195095,Urbano,,Rosedale-Moore Park,43.6718,-79.38488,Private room,86,28,19,2021-08-09,0.15,16,244,1,
50110,Yorkville one bedroom Condo,195095,Urbano,,Church-Yonge Corridor,43.66899,-79.38559,Entire home/apt,123,28,57,2019-08-09,1.57,16,156,1,
51616,Large room in trendy King Street West.,237587,John,,Niagara,43.64296,-79.40451,Private room,55,91,24,2018-11-11,0.37,1,0,0,
69464,Yonge & Bloor one bedroom Condo,195095,Urbano,,Church-Yonge Corridor,43.66949,-79.38384,Entire home/apt,125,28,56,2019-08-03,1.98,16,308,0,
71118,Furnished Downtown Loft Suite,304551,Kintoo,,Niagara,43.64605,-79.4069,Private room,60,58,11,2013-06-03,0.09,4,259,0,
75051,"GreatSpace,Backyard, 5min to Subway",368707,Sandra,,Dufferin Grove,43.65767,-79.43242,Entire home/apt,149,28,273,2018-06-30,2.20,2,0,0,
82694,Luxury Hotel Downtown Living !!,431260,Caterina,,Niagara,43.64319,-79.40498,Entire home/apt,108,30,29,2016-06-16,0.46,1,362,0,
84076,A short walk to TIFF,544254,Darryl,,Niagara,43.64279,-79.40478,Entire home/apt,120,28,6,2015-07-05,0.07,1,0,0,
84151,North City View DT Apartment,195095,Urbano,,Rosedale-Moore Park,43.67138,-79.38424,Entire home/apt,160,28,25,2015-06-04,0.20,16,327,1,
89575,Private bedroom close to downtown,93825,Yohan & Sarah,,Briar Hill-Belgravia,43.6978,-79.45415,Private room,62,28,88,2019-09-29,1.24,2,365,0,
96336,John & Bren's Queen West 3 bedroom townhouse,511506,John,,Niagara,43.64399,-79.40966,Entire home/apt,229,4,129,2021-11-28,1.51,1,99,6,STR-2009-FXRRPD
104096,Hip and modern family-friendly home,349172,Avery,,South Riverdale,43.66406,-79.32749,Entire home/apt,175,5,18,2016-09-06,0.14,1,308,0,STR-2012-HCVDVJ
112842,Gorgeous Condo near High Park!!,575127,Micheline,,High Park North,43.65703,-79.46719,Entire home/apt,66,120,12,2015-08-25,0.15,1,339,0,
113175,Best luxury location in downtown Toronto!,576192,Faria,,Waterfront Communities-The Island,43.63987,-79.39523,Entire home/apt,105,30,39,2021-04-04,0.70,1,105,1,
119441,STYLISH  LAKEVIEW / KING SIZE BED/DOWNTOWN+PARKING,174063,Denis,,South Parkdale,43.63737,-79.44022,Entire home/apt,150,28,79,2019-10-05,0.63,4,339,1,
122492,Sunny & Stylish Aprtmnt w easy access to dwntwn,613837,Brett,,Danforth East York,43.68993,-79.33168,Entire home/apt,89,28,100,2018-07-31,1.01,2,1,1,
131401,WATERFRONT LUXURY SUITE - DOWNTOWN,604233,WaterfrontExecSuites,,Niagara,43.63743,-79.40104,Entire home/apt,59,365,10,2020-05-31,0.13,1,140,1,
146601,Modern 1BR Downtown - Blue Jays Way,436139,Brian,,Waterfront Communities-The Island,43.64584,-79.39051,Entire home/apt,140,28,8,2014-09-01,0.06,1,220,1,
148945,Downtown Toronto Near Lake Ontario,718884,John,,Waterfront Communities-The Island,43.64825,-79.36466,Private room,83,7,27,2015-06-17,0.34,1,338,0,STR-2010-FJCKPB
149420,Bloor West Village 1 Bedroom,666759,Jeannie,,High Park-Swansea,43.6466,-79.48742,Entire home/apt,80,28,37,2019-11-27,0.47,1,96,1,
154743,Downtown Yorkville Toronto,744412,Gloria,,Church-Yonge Corridor,43.67018,-79.38372,Entire home/apt,75,180,67,2017-03-31,0.62,1,279,0,
179578,Furnished 1+1 bed Condo Apartment,545074,Sohail,,Woburn,43.78196,-79.24634,Entire home/apt,80,28,0,,,2,0,0,
182573,Sunlit Separate Entrance Apartment,591649,Melissa,,Humewood-Cedarvale,43.68636,-79.42277,Entire home/apt,70,28,25,2020-06-08,0.21,2,266,1,
184784,2 bd Apt at Yonge & Bloor Yorkville,656777,Pere,,Church-Yonge Corridor,43.67005,-79.38372,Entire home/apt,199,180,62,2019-08-04,0.54,1,124,0,
